latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
50.7454,19.0298,325.9,1.1,1,2013-01-01,1148,Aqua,MODIS,84,6.2,272.1,30.7,D,0
50.7435,19.015,309.6,1.1,1,2013-01-01,1148,Aqua,MODIS,69,6.2,272.2,14.5,D,0
51.6928,15.9707,304.9,1,1,2013-01-31,1014,Terra,MODIS,57,6.2,278.6,10.1,D,2
51.6872,15.9823,300.7,1.9,1.3,2013-02-03,1044,Terra,MODIS,30,6.2,274.9,22.2,D,2
51.6857,15.9778,310.2,1.2,1.1,2013-02-04,0949,Terra,MODIS,29,6.2,275.4,19.3,D,2
51.1739,16.1085,304.9,1,1,2013-02-06,2048,Terra,MODIS,62,6.2,267.9,12.5,N,0
51.6939,15.9844,306.6,1.6,1.3,2013-02-09,0043,Aqua,MODIS,69,6.2,267.5,27.8,N,2
50.421,18.1467,303,1,1,2013-03-02,0101,Aqua,MODIS,53,6.2,271.8,10.9,N,0
51.6848,15.9821,302.5,1.4,1.2,2013-03-02,1212,Aqua,MODIS,45,6.2,280.9,12.4,D,2
51.6834,15.9687,300.4,1.1,1,2013-03-04,1200,Aqua,MODIS,34,6.2,286,6.3,D,2
51.6852,15.9841,303.5,1.1,1,2013-03-04,1200,Aqua,MODIS,49,6.2,285.7,8.2,D,2
50.3497,19.2799,301.4,1,1,2013-03-05,2029,Terra,MODIS,40,6.2,272.6,9.4,N,0
50.0651,20.1194,317.5,1,1,2013-03-05,2029,Terra,MODIS,95,6.2,272.1,21,N,0
51.2852,20.9345,304.6,1.1,1.1,2013-03-06,1001,Terra,MODIS,59,6.2,284,9,D,0
51.6842,15.9882,302.9,1,1,2013-03-06,1002,Terra,MODIS,54,6.2,277.7,7.8,D,2
50.0492,20.2253,314.2,1.1,1.1,2013-03-06,1002,Terra,MODIS,74,6.2,286.1,16.7,D,0
50.052,20.21,313,1.1,1.1,2013-03-06,1002,Terra,MODIS,73,6.2,285.2,15.5,D,0
50.3877,19.4161,310.4,1.1,1,2013-03-06,1002,Terra,MODIS,70,6.2,285.2,12.7,D,0
49.962,19.8296,321.8,1.1,1,2013-03-06,1147,Aqua,MODIS,81,6.2,286,22.9,D,0
49.9638,19.8445,310.3,1.1,1,2013-03-06,1147,Aqua,MODIS,70,6.2,284.8,11.9,D,0
50.3281,19.2884,300.8,1.1,1,2013-03-06,1147,Aqua,MODIS,28,6.2,286.4,4.3,D,2
50.3372,19.2856,300.4,1.1,1,2013-03-06,1147,Aqua,MODIS,29,6.2,286.9,4.3,D,2
50.4206,18.1393,307.8,1,1,2013-03-06,1148,Aqua,MODIS,62,6.2,288,9.1,D,0
50.3369,19.2943,307,1.1,1,2013-03-17,0944,Terra,MODIS,64,6.2,279.8,11.2,D,2
50.3404,19.3409,301.4,1.1,1,2013-03-17,0944,Terra,MODIS,46,6.2,278.6,8.1,D,0
50.3345,19.2952,325.8,1,1,2013-03-24,0950,Terra,MODIS,84,6.2,276.2,28.4,D,2
50.3365,19.2813,303.4,1,1,2013-03-24,0950,Terra,MODIS,56,6.2,277.1,9.6,D,2
50.4443,19.2508,308.9,1,1,2013-03-24,1135,Aqua,MODIS,68,6.2,277.8,13.3,D,0
50.1673,20.0811,301.5,1,1,2013-03-24,1135,Aqua,MODIS,0,6.2,275.5,8.4,D,0
50.3353,19.2901,348.4,1,1,2013-03-28,2036,Terra,MODIS,100,6.2,271.7,65.3,N,2
52.5889,19.6824,300.4,1,1,2013-04-07,1001,Terra,MODIS,23,6.2,282.8,5.7,D,0
52.7134,15.2158,314.3,1.1,1,2013-04-07,1002,Terra,MODIS,75,6.2,285.5,14.9,D,0
52.7115,15.2314,306.1,1.1,1,2013-04-07,1002,Terra,MODIS,63,6.2,284.5,8.2,D,0
50.3352,19.2936,303,1.3,1.1,2013-04-08,0120,Aqua,MODIS,52,6.2,269.1,17.1,N,2
51.6873,15.9785,302,1,1,2013-04-08,0120,Aqua,MODIS,46,6.2,269.7,11,N,2
50.0486,20.1827,303.7,1.1,1,2013-04-11,0938,Terra,MODIS,54,6.2,280.3,6.9,D,0
50.3696,19.0019,301.7,1.2,1.1,2013-04-11,1124,Aqua,MODIS,48,6.2,274.9,8.2,D,0
50.3419,19.2979,323,1,1,2013-04-12,0056,Aqua,MODIS,100,6.2,277,25.8,N,2
51.6834,15.9792,310,1,1,2013-04-14,1008,Terra,MODIS,60,6.2,295.7,7.9,D,2
53.3791,14.4749,309.5,1,1,2013-04-14,1155,Aqua,MODIS,40,6.2,289.1,7,D,0
53.3811,14.4897,321.7,1,1,2013-04-14,1155,Aqua,MODIS,81,6.2,288.5,17.2,D,0
51.6841,15.9751,317.9,1,1,2013-04-14,1155,Aqua,MODIS,74,6.2,299,13.4,D,2
53.39,14.4862,316.7,1,1,2013-04-14,1155,Aqua,MODIS,71,6.2,289.2,12.4,D,0
50.6306,17.4812,304.5,2.7,1.6,2013-04-15,0913,Terra,MODIS,59,6.2,288.8,26.1,D,0
50.3136,18.8874,304.1,3.4,1.7,2013-04-15,1051,Terra,MODIS,58,6.2,291.6,26.1,D,0
50.3262,18.8441,304,3.4,1.7,2013-04-15,1051,Terra,MODIS,58,6.2,291.2,26.6,D,0
50.3185,18.8862,305.1,3.4,1.7,2013-04-15,1051,Terra,MODIS,53,6.2,291.5,30,D,0
50.3308,18.8425,302.6,3.4,1.7,2013-04-15,1051,Terra,MODIS,50,6.2,291.2,22.5,D,0
50.5075,16.6565,301.2,2.8,1.6,2013-04-15,1059,Aqua,MODIS,45,6.2,290.1,15.8,D,0
51.4963,21.1035,309,1.6,1.2,2013-04-15,1059,Aqua,MODIS,64,6.2,289.2,16.8,D,0
50.5102,16.6473,302.3,2.8,1.6,2013-04-15,1059,Aqua,MODIS,51,6.2,290.5,18.5,D,0
54.3029,18.9037,309.4,1.6,1.3,2013-04-15,1100,Aqua,MODIS,0,6.2,287.1,19.7,D,0
51.1332,19.8231,324.1,1,1,2013-04-15,2024,Terra,MODIS,100,6.2,276.9,27.6,N,0
54.2584,19.3675,302.7,1,1,2013-04-16,0955,Terra,MODIS,0,6.2,290.5,4,D,0
54.3687,21.3137,323.9,1,1,2013-04-16,0955,Terra,MODIS,83,6.2,290,21.7,D,0
54.3711,21.2986,301.8,1,1,2013-04-16,0955,Terra,MODIS,43,6.2,288.5,4.2,D,0
54.396,20.5304,305.8,1,1,2013-04-16,0955,Terra,MODIS,61,6.2,288.9,7.2,D,0
54.3414,21.5998,301.2,1,1,2013-04-16,0955,Terra,MODIS,43,6.2,287.8,4.4,D,0
51.2907,19.034,311.3,1,1,2013-04-16,0956,Terra,MODIS,71,6.2,296.4,6.9,D,0
50.6884,21.9096,306,1.1,1.1,2013-04-16,0956,Terra,MODIS,62,6.2,293.3,6.3,D,0
50.3894,22.1342,304.7,1.2,1.1,2013-04-16,0956,Terra,MODIS,50,6.2,294.5,4.8,D,0
49.6559,21.7251,305.5,1.2,1.1,2013-04-16,0956,Terra,MODIS,58,6.2,294.4,4.3,D,0
50.4642,22.2414,305,1.2,1.1,2013-04-16,0956,Terra,MODIS,60,6.2,294,5.3,D,0
50.688,17.5529,314.1,1,1,2013-04-16,0956,Terra,MODIS,74,6.2,293.4,9.6,D,0
50.69,17.5388,310.2,1,1,2013-04-16,0956,Terra,MODIS,70,6.2,292.7,6.7,D,0
49.8927,19.5073,321.8,1,1,2013-04-16,0956,Terra,MODIS,80,6.2,296.5,16.5,D,0
50.8335,18.9782,308.1,1,1,2013-04-16,0956,Terra,MODIS,62,6.2,296.2,5.7,D,0
50.976,19.1529,309.3,1,1,2013-04-16,1142,Aqua,MODIS,67,6.2,294.5,6.2,D,0
