latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.6878,15.9832,320.9,1.4,1.2,2001-01-11,0955,Terra,MODIS,76,6.2,273.6,39.1,D,2
51.6847,15.9881,308.3,1.6,1.3,2001-01-20,0949,Terra,MODIS,55,6.2,268.6,29.5,D,2
51.6867,15.9813,310.3,1.6,1.3,2001-01-20,0949,Terra,MODIS,66,6.2,269,30,D,2
53.1366,22.8249,324.2,1.6,1.2,2001-01-24,0924,Terra,MODIS,83,6.2,270.6,54.4,D,0
53.1346,22.8485,319.8,1.6,1.2,2001-01-24,0924,Terra,MODIS,80,6.2,270,45.2,D,0
51.6839,15.9834,305.3,1,1,2001-02-07,2048,Terra,MODIS,28,6.2,271.3,12.5,N,2
50.3424,19.2906,300.3,1,1,2001-02-12,0955,Terra,MODIS,34,6.2,276.7,6.6,D,2
50.3333,19.2878,304.5,1,1,2001-02-12,0955,Terra,MODIS,59,6.2,277.4,9.3,D,2
52.5403,16.8895,300.5,1.1,1,2001-02-26,1006,Terra,MODIS,38,6.2,276.1,8.7,D,0
52.5745,14.881,317.6,1.1,1,2001-03-01,1037,Terra,MODIS,78,6.2,279.9,22.5,D,0
52.5289,14.7166,340.4,1.1,1,2001-03-01,1037,Terra,MODIS,92,6.2,278.6,54.7,D,0
52.5262,14.7322,338.5,1.1,1,2001-03-01,1037,Terra,MODIS,91,6.2,277.3,51.1,D,0
51.6883,15.9832,305.4,1.2,1.1,2001-03-01,1037,Terra,MODIS,58,6.2,271.8,15,D,2
50.3365,19.2899,303.8,1,1,2001-03-07,1000,Terra,MODIS,57,6.2,284.1,7.9,D,2
51.1016,17.1335,303.7,1,1,2001-03-12,1018,Terra,MODIS,44,6.2,286,6.5,D,0
49.88,22.1805,304,1.6,1.2,2001-03-12,1018,Terra,MODIS,58,6.2,288,11.5,D,0
50.2982,19.1032,300.9,1.2,1.1,2001-03-12,1018,Terra,MODIS,29,6.2,283,4.8,D,0
