latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.6868,15.9751,315,1,1,2008-01-11,1153,Aqua,MODIS,71,6.2,277,17.5,D,2
51.1782,16.1108,312.3,1,1,2008-01-13,1140,Aqua,MODIS,68,6.2,277.9,16.6,D,0
51.1722,16.1182,305.7,1,1,2008-01-13,1140,Aqua,MODIS,62,6.2,277,11,D,0
51.6821,15.9748,306.3,1,1,2008-01-13,1141,Aqua,MODIS,60,6.2,277.8,12.2,D,2
51.6872,15.987,303.3,1.2,1.1,2008-01-25,1205,Aqua,MODIS,52,6.2,278.2,11.7,D,2
51.6853,15.9699,317.6,1.2,1.1,2008-01-25,1205,Aqua,MODIS,73,6.2,279,25.1,D,2
50.3433,19.3007,308.8,1.1,1,2008-02-03,0048,Aqua,MODIS,76,6.2,271.6,15.5,N,2
50.3024,18.9686,303.3,1.3,1.1,2008-02-03,1159,Aqua,MODIS,56,6.2,278,13.4,D,0
51.1712,16.1152,303.9,1,1,2008-02-05,1147,Aqua,MODIS,54,6.2,278.9,8,D,0
51.18,16.1118,301.9,1,1,2008-02-05,1147,Aqua,MODIS,41,6.2,280.3,7,D,0
51.6899,15.9776,301.4,1.1,1,2008-02-10,1020,Terra,MODIS,41,6.2,278.8,9,D,2
51.6892,15.9824,306,1.4,1.2,2008-02-16,0943,Terra,MODIS,63,6.2,274.5,18.7,D,2
51.6867,15.9785,303.9,1,1,2008-02-21,1147,Aqua,MODIS,54,6.2,276.9,8.6,D,2
50.3355,19.2929,304.7,1,1,2008-02-23,0949,Terra,MODIS,59,6.2,275,10.1,D,2
50.5557,21.178,315.1,1,1,2008-02-23,1134,Aqua,MODIS,75,6.2,280.4,17.2,D,0
50.7672,16.2562,301.8,1.6,1.2,2008-02-24,1218,Aqua,MODIS,49,6.2,287.4,11.1,D,0
51.7246,15.8995,300.8,1.6,1.2,2008-02-24,1218,Aqua,MODIS,40,6.2,286.7,8.7,D,0
50.4971,21.6296,302.4,1,1,2008-02-25,1122,Aqua,MODIS,51,6.2,287.3,6.2,D,0
49.9901,19.5637,301,1.1,1.1,2008-02-25,1122,Aqua,MODIS,21,6.2,284.5,6.3,D,0
51.215,23.7305,310.9,1,1,2008-02-25,1122,Aqua,MODIS,41,6.2,283.3,10.5,D,0
49.8085,22.7846,304.7,1,1,2008-02-25,1122,Aqua,MODIS,60,6.2,287.4,6.6,D,0
50.6055,22.4502,322.5,1,1,2008-02-25,1122,Aqua,MODIS,71,6.2,284.8,22.1,D,0
50.6034,22.4363,334.2,1,1,2008-02-25,1122,Aqua,MODIS,84,6.2,287.3,36.5,D,0
51.687,15.9788,316.9,1,1,2008-02-25,2048,Terra,MODIS,94,6.2,271,21.2,N,2
50.424,16.6608,323.4,1.2,1.1,2008-02-26,1020,Terra,MODIS,82,6.2,285.1,28.6,D,0
50.4244,16.6676,310.8,1.2,1.1,2008-02-26,1020,Terra,MODIS,52,6.2,283.9,13.3,D,0
50.4275,16.6513,311.6,1.2,1.1,2008-02-26,1020,Terra,MODIS,60,6.2,283.9,14,D,0
49.725,22.844,306.4,2.3,1.5,2008-02-26,1205,Aqua,MODIS,63,6.2,284.5,27.7,D,0
50.3407,19.2982,315.3,1.2,1.1,2008-03-02,0113,Aqua,MODIS,91,6.2,274.4,23.8,N,2
51.6866,15.9798,301.3,1,1,2008-03-05,2042,Terra,MODIS,40,6.2,270.9,10,N,2
50.4388,17.2779,302,1.1,1.1,2008-03-06,1159,Aqua,MODIS,36,6.2,279.2,8,D,0
50.3363,19.2871,301.5,1,1,2008-03-07,2029,Terra,MODIS,41,6.2,275.4,9.4,N,2
50.3351,19.2878,300.4,1.1,1,2008-03-08,1001,Terra,MODIS,37,6.2,282.9,6.9,D,2
50.3332,19.2936,307.7,1.1,1,2008-03-08,1147,Aqua,MODIS,66,6.2,286.2,8.9,D,2
50.3383,19.2864,311.2,1.1,1,2008-03-08,1147,Aqua,MODIS,71,6.2,286.4,12.6,D,0
51.7967,22.1371,304.8,1.4,1.2,2008-03-08,1147,Aqua,MODIS,56,6.2,281.7,12.5,D,0
50.9504,19.8264,304.2,1.1,1.1,2008-03-08,1147,Aqua,MODIS,58,6.2,286.4,8.1,D,0
50.9021,19.4254,302,1.1,1,2008-03-08,1147,Aqua,MODIS,33,6.2,281.9,5.6,D,0
50.9083,19.4338,301,1.1,1,2008-03-08,1147,Aqua,MODIS,44,6.2,283.9,6,D,0
50.3313,19.2789,304.2,1.1,1,2008-03-08,1147,Aqua,MODIS,55,6.2,287.8,6.5,D,2
50.9065,19.4185,300.7,1.1,1,2008-03-08,1147,Aqua,MODIS,40,6.2,281.2,5.7,D,0
54.4018,20.6373,308.1,1,1,2008-03-10,0948,Terra,MODIS,67,6.2,283.7,10.4,D,0
50.342,19.3357,303.3,1,1,2008-03-10,0949,Terra,MODIS,55,6.2,286.6,5.9,D,0
50.339,19.291,303.8,1,1,2008-03-10,0949,Terra,MODIS,57,6.2,287.6,5.9,D,0
51.6875,15.9868,303.6,1.2,1.1,2008-03-10,0949,Terra,MODIS,53,6.2,287.8,8.5,D,2
49.9853,19.6261,322,1,1,2008-03-10,1134,Aqua,MODIS,81,6.2,287,19.8,D,0
49.4843,19.6379,303.2,1,1,2008-03-10,1134,Aqua,MODIS,50,6.2,285.7,5.8,D,0
50.2995,19.1799,306.3,1,1,2008-03-10,1135,Aqua,MODIS,52,6.2,287.4,6.6,D,0
50.4324,17.2832,301.8,1.1,1,2008-03-10,1135,Aqua,MODIS,43,6.2,288.4,5.1,D,0
50.3339,19.284,302.2,1,1,2008-03-10,1135,Aqua,MODIS,49,6.2,286.7,4.4,D,2
52.3446,21.2811,307.9,1,1,2008-03-10,1135,Aqua,MODIS,66,6.2,285.2,10.1,D,0
54.3932,20.6767,301.6,1.1,1,2008-03-10,1136,Aqua,MODIS,44,6.2,283.7,5.5,D,0
54.3841,20.68,302.8,1.1,1,2008-03-10,1136,Aqua,MODIS,54,6.2,284.3,6.4,D,0
50.4336,20.5304,300.3,2.4,1.5,2008-03-11,1032,Terra,MODIS,33,6.2,286.4,13.7,D,0
52.5388,16.8927,314.3,1.4,1.2,2008-03-11,1032,Terra,MODIS,75,6.2,278.5,26.6,D,0
52.542,16.9011,309.6,1.4,1.2,2008-03-11,1032,Terra,MODIS,69,6.2,278.9,18.9,D,0
51.1761,16.1116,307.9,1,1,2008-03-15,1007,Terra,MODIS,66,6.2,279.8,9.6,D,0
51.6884,15.9856,300.8,1,1,2008-03-15,1007,Terra,MODIS,35,6.2,278.5,5.7,D,2
50.3015,17.4875,300.5,1,1,2008-03-15,1153,Aqua,MODIS,33,6.2,286.7,4.7,D,0
50.3381,19.3003,301,1.6,1.2,2008-03-16,0125,Aqua,MODIS,37,6.2,267,19.2,N,2
51.6889,15.9759,300.8,1.2,1.1,2008-03-20,1026,Terra,MODIS,33,6.2,277.1,9.3,D,0
51.6866,15.984,302.2,2,1.4,2008-03-27,2005,Terra,MODIS,48,6.2,271.2,28.5,N,2
53.7583,21.8974,302.8,1.1,1,2008-03-28,0936,Terra,MODIS,42,6.2,282.6,7.7,D,0
53.7563,21.9135,307.7,1.1,1,2008-03-28,0936,Terra,MODIS,66,6.2,282.8,10.9,D,0
53.7471,21.9104,307.2,1.1,1,2008-03-28,0936,Terra,MODIS,63,6.2,282.5,10.2,D,0
51.6856,15.9704,300.5,1.7,1.3,2008-03-28,0937,Terra,MODIS,33,6.2,285.4,11.4,D,2
50.3335,19.2832,316.3,1.2,1.1,2008-03-28,1122,Aqua,MODIS,77,6.2,276.7,20,D,2
50.4122,18.57,317.4,1.2,1.1,2008-03-28,1122,Aqua,MODIS,73,6.2,284,22.4,D,0
51.0174,14.9582,318,1.7,1.3,2008-03-28,1123,Aqua,MODIS,78,6.2,285.6,35.8,D,0
54.3707,21.6625,302.2,1.5,1.2,2008-03-29,1019,Terra,MODIS,24,6.2,285.8,8.8,D,0
54.3565,21.0415,303.5,1.4,1.2,2008-03-29,1019,Terra,MODIS,56,6.2,284.5,11.8,D,0
54.3568,21.9621,300.2,2.6,1.5,2008-03-29,1028,Aqua,MODIS,32,6.2,284.3,18.6,D,0
51.6905,15.9799,303.6,1.4,1.2,2008-03-30,0137,Aqua,MODIS,56,6.2,265.9,18.8,N,2
50.3332,19.2936,302.3,1.6,1.2,2008-03-30,0925,Terra,MODIS,44,6.2,289.1,9.3,D,2
