latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.1783,16.1162,301.8,1,1,2011-01-16,2047,Terra,MODIS,44,6.2,273.3,10,N,0
51.6868,15.9754,301.8,1,1,2011-01-16,2048,Terra,MODIS,44,6.2,275.4,9.6,N,2
50.3405,19.2951,302.5,1,1,2011-01-30,0949,Terra,MODIS,53,6.2,270.3,10.3,D,2
51.6882,15.9734,313.8,1,1,2011-02-01,2048,Terra,MODIS,88,6.2,266.4,19,N,2
51.6776,15.975,302.7,1.7,1.3,2011-02-10,1118,Aqua,MODIS,53,6.2,274.5,18.4,D,2
51.1816,16.1149,304.4,1,1,2011-02-16,0108,Aqua,MODIS,60,6.2,266.6,12.5,N,0
54.0521,15.1693,348.4,1.2,1.1,2011-02-24,1131,Aqua,MODIS,95,6.2,277.8,81.9,D,0
54.0554,15.1868,361.4,1.2,1.1,2011-02-24,1131,Aqua,MODIS,100,6.2,277.5,122.3,D,0
50.3452,19.2917,304.3,1,1,2011-02-27,0050,Aqua,MODIS,59,6.2,266.1,12.6,N,0
52.9486,14.4432,303.1,1,1,2011-02-27,1201,Aqua,MODIS,55,6.2,277.6,8.4,D,0
51.6868,15.989,306.8,1,1,2011-03-01,1001,Terra,MODIS,56,6.2,276.6,12.1,D,2
50.4137,18.1405,300.7,1,1,2011-03-01,1001,Terra,MODIS,35,6.2,276.5,7.5,D,0
51.6887,15.9744,306.7,1,1,2011-03-01,1001,Terra,MODIS,56,6.2,276.8,12.1,D,2
50.3278,19.289,300,1.1,1,2011-03-01,1148,Aqua,MODIS,23,6.2,280.1,6.6,D,2
50.3369,19.2862,302.6,1.1,1,2011-03-01,1148,Aqua,MODIS,53,6.2,279.9,8.4,D,2
53.1311,15.4405,305.5,1,1,2011-03-01,1149,Aqua,MODIS,61,6.2,277.5,9.9,D,0
50.3005,19.0747,309.8,2.9,1.6,2011-03-02,1044,Terra,MODIS,65,6.2,277.4,62.1,D,0
50.3005,19.0677,304.7,2.9,1.6,2011-03-02,1044,Terra,MODIS,56,6.2,277,46.1,D,0
50.2902,19.1059,305.2,3,1.6,2011-03-02,1044,Terra,MODIS,53,6.2,277.4,47.6,D,0
50.2976,19.0866,303.4,2.5,1.5,2011-03-02,1053,Aqua,MODIS,52,6.2,277.6,30.6,D,0
50.2889,19.0533,300.9,2.6,1.5,2011-03-02,1053,Aqua,MODIS,34,6.2,277.3,25.5,D,0
50.2835,19.0641,307.9,2.6,1.5,2011-03-02,1053,Aqua,MODIS,66,6.2,277.7,44.9,D,0
50.3324,19.2865,304.9,1.2,1.1,2011-03-02,2017,Terra,MODIS,62,6.2,267.6,15.3,N,2
50.3408,19.2873,301.2,1.8,1.3,2011-03-03,0025,Aqua,MODIS,39,6.2,266.4,24.9,N,0
51.203,17.5511,306.2,1.1,1,2011-03-03,0949,Terra,MODIS,63,6.2,275.5,12.4,D,0
50.4017,19.1563,300.5,1,1,2011-03-03,1136,Aqua,MODIS,38,6.2,280.3,6.2,D,0
50.4364,19.1364,309.7,1,1,2011-03-03,1136,Aqua,MODIS,69,6.2,280.2,12,D,0
50.9964,19.9104,302.1,1,1,2011-03-03,1136,Aqua,MODIS,50,6.2,281.6,7.5,D,0
50.3248,19.1413,300.3,1,1,2011-03-03,1136,Aqua,MODIS,33,6.2,279.4,6.5,D,0
50.4114,18.1454,301.2,1,1,2011-03-03,1136,Aqua,MODIS,34,6.2,281.8,6.8,D,0
50.3689,19.1247,313.1,1,1,2011-03-03,1136,Aqua,MODIS,73,6.2,280.8,14.5,D,0
53.3561,15.4301,328.3,1.1,1,2011-03-03,1137,Aqua,MODIS,81,6.2,281.6,33.8,D,0
51.1783,16.1204,301.1,1,1,2011-03-04,0108,Aqua,MODIS,37,6.2,267.7,10.4,N,0
51.6886,15.9816,303.5,1.4,1.2,2011-03-04,1032,Terra,MODIS,56,6.2,280.1,13.5,D,2
51.6829,15.9853,302.5,1.4,1.2,2011-03-04,1032,Terra,MODIS,53,6.2,280,12.4,D,2
50.3348,19.2833,301.7,2.2,1.5,2011-03-04,1219,Aqua,MODIS,49,6.2,282.3,21.1,D,2
50.3384,19.2869,300,2.2,1.5,2011-03-04,1219,Aqua,MODIS,18,6.2,281.8,19,D,0
51.6834,15.9947,301.7,1.6,1.3,2011-03-05,0937,Terra,MODIS,42,6.2,274.9,18.9,D,2
50.3371,19.2965,310.7,1.2,1.1,2011-03-05,0937,Terra,MODIS,70,6.2,280.2,15.8,D,2
51.1482,17.7358,304.3,1.3,1.1,2011-03-05,1124,Aqua,MODIS,58,6.2,278,12.6,D,0
51.1993,17.3378,335.5,1.3,1.1,2011-03-05,1124,Aqua,MODIS,90,6.2,281.5,55.6,D,0
51.365,17.3801,300.5,1.3,1.1,2011-03-05,1124,Aqua,MODIS,37,6.2,279.8,9.5,D,0
51.2001,17.3521,333.2,1.3,1.1,2011-03-05,1124,Aqua,MODIS,88,6.2,281.5,51.9,D,0
51.4016,17.3564,303.5,1.3,1.1,2011-03-05,1124,Aqua,MODIS,56,6.2,279.9,11.9,D,0
51.2027,17.3557,328.8,1.3,1.1,2011-03-05,1124,Aqua,MODIS,86,6.2,280.7,42,D,0
51.1966,17.3342,318.6,1.3,1.1,2011-03-05,1124,Aqua,MODIS,79,6.2,280.8,27.4,D,0
51.6847,15.9845,304.5,1,1,2011-03-05,2048,Terra,MODIS,60,6.2,272.3,11.8,N,2
51.3029,17.7623,324.8,1.3,1.1,2011-03-06,1020,Terra,MODIS,83,6.2,274.1,37.1,D,0
51.3063,17.745,304.7,1.3,1.1,2011-03-06,1020,Terra,MODIS,60,6.2,276.9,13.1,D,0
52.0731,14.8131,302.1,1.1,1.1,2011-03-06,1207,Aqua,MODIS,38,6.2,278.3,8.8,D,0
51.0212,17.3252,326.8,1.3,1.1,2011-03-06,1207,Aqua,MODIS,80,6.2,275,40.4,D,0
51.6842,15.9724,302.4,1.2,1.1,2011-03-06,1207,Aqua,MODIS,49,6.2,281.6,10.5,D,2
50.1908,19.299,303.9,1.5,1.2,2011-03-07,0925,Terra,MODIS,57,6.2,278.4,16.9,D,0
51.685,15.9873,305.5,1,1,2011-03-07,2036,Terra,MODIS,65,6.2,267.1,13.3,N,2
53.4432,15.7656,305.8,1,1,2011-03-08,1007,Terra,MODIS,62,6.2,279.7,10.3,D,0
50.2111,19.7094,300.4,1.2,1.1,2011-03-08,1007,Terra,MODIS,37,6.2,279.7,7.4,D,0
51.6825,15.9828,312.1,1,1,2011-03-08,1007,Terra,MODIS,68,6.2,280.9,14.3,D,2
50.0417,19.3178,301.1,1.2,1.1,2011-03-08,1008,Terra,MODIS,39,6.2,279.5,8.8,D,0
50.7215,19.1209,300.4,1.2,1.1,2011-03-08,1154,Aqua,MODIS,21,6.2,281.3,6.4,D,0
50.7353,19.1272,330,1.2,1.1,2011-03-08,1154,Aqua,MODIS,73,6.2,282.5,36.3,D,0
50.7335,19.1107,335.6,1.2,1.1,2011-03-08,1154,Aqua,MODIS,86,6.2,283.4,46.1,D,0
50.7449,19.1245,324.5,1.2,1.1,2011-03-08,1154,Aqua,MODIS,83,6.2,280.9,30,D,0
50.7431,19.1081,316.9,1.2,1.1,2011-03-08,1154,Aqua,MODIS,77,6.2,281.4,20.6,D,0
51.2145,19.6221,306.5,1.2,1.1,2011-03-08,1154,Aqua,MODIS,64,6.2,281.5,12.4,D,0
51.6803,15.9878,303.6,1,1,2011-03-08,1154,Aqua,MODIS,49,6.2,284.1,7.5,D,2
51.147,17.0798,304.9,1,1,2011-03-08,1154,Aqua,MODIS,60,6.2,281.5,8.7,D,0
51.041,17.4041,303.3,1.1,1,2011-03-08,1154,Aqua,MODIS,56,6.2,280.7,8.1,D,0
50.5761,19.1657,305.4,1.2,1.1,2011-03-08,1154,Aqua,MODIS,46,6.2,281.7,9.7,D,0
50.7939,16.8386,325.5,1,1,2011-03-08,1154,Aqua,MODIS,84,6.2,282.8,26.2,D,0
51.1488,17.0946,300.6,1,1,2011-03-08,1154,Aqua,MODIS,40,6.2,281.8,6.1,D,0
50.339,19.3343,300.5,1.2,1.1,2011-03-08,1154,Aqua,MODIS,39,6.2,282.4,7,D,0
51.184,17.2999,316.1,1.1,1,2011-03-08,1154,Aqua,MODIS,76,6.2,281.4,17,D,0
51.6873,15.9702,304.9,1,1,2011-03-08,1154,Aqua,MODIS,56,6.2,284.1,8.3,D,2
51.1931,17.297,315,1.1,1,2011-03-08,1154,Aqua,MODIS,75,6.2,281.4,15.9,D,0
50.8836,16.5417,305.3,1,1,2011-03-08,1154,Aqua,MODIS,61,6.2,280.6,8.6,D,0
50.1315,19.8546,301.2,1.2,1.1,2011-03-08,1154,Aqua,MODIS,45,6.2,281.3,8,D,0
50.2162,19.7046,302.8,1.2,1.1,2011-03-08,1154,Aqua,MODIS,54,6.2,281.3,8.1,D,0
50.5737,19.2344,310.1,1.2,1.1,2011-03-08,1154,Aqua,MODIS,70,6.2,280.8,15.4,D,0
50.4211,16.6719,316.1,1,1,2011-03-08,1154,Aqua,MODIS,75,6.2,284,15,D,0
50.4308,16.6767,311.1,1,1,2011-03-08,1154,Aqua,MODIS,71,6.2,282.4,12.7,D,0
50.7567,19.7208,301.9,1.2,1.1,2011-03-08,1154,Aqua,MODIS,43,6.2,270.2,8.5,D,0
50.4289,16.6626,315.9,1,1,2011-03-08,1154,Aqua,MODIS,76,6.2,282.6,16.4,D,0
50.5719,19.2178,302.9,1.2,1.1,2011-03-08,1154,Aqua,MODIS,54,6.2,281.3,9.4,D,0
50.7594,16.7896,300.5,1,1,2011-03-08,1154,Aqua,MODIS,37,6.2,280.2,6.8,D,0
50.5857,19.1632,348.4,1.2,1.1,2011-03-08,1154,Aqua,MODIS,95,6.2,283,76.4,D,0
50.5839,19.1468,311.4,1.2,1.1,2011-03-08,1154,Aqua,MODIS,71,6.2,281.4,14.8,D,0
53.4375,15.7718,311,1,1,2011-03-08,1155,Aqua,MODIS,71,6.2,282.3,13.4,D,0
54.1928,15.6805,308.4,1,1,2011-03-08,1155,Aqua,MODIS,51,6.2,281,12.2,D,0
54.0605,15.2318,309.9,1,1,2011-03-08,1155,Aqua,MODIS,69,6.2,281.1,12.3,D,0
51.8193,14.9866,300.1,1,1,2011-03-08,1155,Aqua,MODIS,28,6.2,282.2,5.5,D,0
53.3213,15.0394,303.7,1,1,2011-03-08,1155,Aqua,MODIS,57,6.2,281.3,7.9,D,0
53.3192,15.0245,301.3,1,1,2011-03-08,1155,Aqua,MODIS,46,6.2,280.4,6.4,D,0
53.2668,14.779,302.1,1,1,2011-03-08,1155,Aqua,MODIS,51,6.2,279.6,7,D,0
53.4355,15.7565,302.6,1,1,2011-03-08,1155,Aqua,MODIS,52,6.2,281.3,7.7,D,0
52.0201,15.4274,315.8,1,1,2011-03-08,1155,Aqua,MODIS,76,6.2,284.4,16.4,D,0
50.3318,19.301,306.1,2.2,1.4,2011-03-09,0912,Terra,MODIS,63,6.2,280,30.1,D,2
54.1704,15.5788,303.4,1.8,1.3,2011-03-09,1049,Terra,MODIS,53,6.2,280.4,17.9,D,0
51.1299,17.005,308.5,2.6,1.6,2011-03-09,1050,Terra,MODIS,67,6.2,282.4,39.3,D,0
51.5691,15.9183,316.2,2.2,1.5,2011-03-09,1050,Terra,MODIS,76,6.2,282.3,50.2,D,0
51.564,15.9446,308.9,2.3,1.5,2011-03-09,1050,Terra,MODIS,68,6.2,281.8,35.6,D,0
51.5714,15.9144,309.2,2.2,1.5,2011-03-09,1050,Terra,MODIS,68,6.2,282.8,36.1,D,0
51.5615,15.9484,304.3,2.3,1.5,2011-03-09,1050,Terra,MODIS,40,6.2,281.4,22.6,D,0
53.2917,14.534,309.6,1.7,1.3,2011-03-09,1050,Terra,MODIS,60,6.2,282.3,24.8,D,0
51.1347,17.0135,307.9,2.6,1.6,2011-03-09,1050,Terra,MODIS,66,6.2,282.3,39.4,D,0
51.0217,15.0423,307.5,3.1,1.7,2011-03-09,1059,Aqua,MODIS,65,6.2,280.4,51.5,D,0
50.8689,20.8823,310.8,1.7,1.3,2011-03-09,1059,Aqua,MODIS,71,6.2,279.9,28.8,D,0
50.8637,20.8588,300.6,1.7,1.3,2011-03-09,1059,Aqua,MODIS,40,6.2,280,14.3,D,0
50.5323,20.559,303.1,1.8,1.3,2011-03-09,1059,Aqua,MODIS,55,6.2,282.8,17.7,D,0
51.024,15.0446,306.2,3.1,1.7,2011-03-09,1059,Aqua,MODIS,55,6.2,280.4,50.9,D,0
50.0907,18.4018,307.5,2.4,1.5,2011-03-09,1059,Aqua,MODIS,65,6.2,280.4,34.4,D,0
50.0943,18.4276,304.2,2.3,1.5,2011-03-09,1059,Aqua,MODIS,58,6.2,280.5,30,D,0
50.0866,18.397,302,2.4,1.5,2011-03-09,1059,Aqua,MODIS,50,6.2,280.4,25.9,D,0
50.592,19.6191,318.2,2,1.4,2011-03-09,1059,Aqua,MODIS,74,6.2,280,51.1,D,0
50.4314,17.2747,305.6,3.1,1.7,2011-03-09,1237,Aqua,MODIS,54,6.2,282.9,39.4,D,0
50.8636,16.8629,304.4,2.9,1.6,2011-03-09,1237,Aqua,MODIS,59,6.2,286.3,28.3,D,0
50.9157,19.4501,303.4,4,1.9,2011-03-09,1237,Aqua,MODIS,56,6.2,281.6,56.7,D,0
50.308,19.292,304.2,3.9,1.8,2011-03-09,1237,Aqua,MODIS,58,6.2,283.1,56.4,D,0
50.9098,19.4592,301.6,4,1.9,2011-03-09,1237,Aqua,MODIS,48,6.2,281.6,46.1,D,0
51.6865,15.976,328.1,1.1,1,2011-03-10,0955,Terra,MODIS,74,6.2,282.1,33.5,D,2
51.6846,15.9917,321.6,1.1,1,2011-03-10,0955,Terra,MODIS,70,6.2,282.1,25.1,D,2
51.6807,15.9837,301.3,1,1,2011-03-10,1142,Aqua,MODIS,32,6.2,281.5,6.2,D,2
49.4902,19.7547,304.2,1,1,2011-03-12,0943,Terra,MODIS,45,6.2,286,7.2,D,0
49.49,19.7496,302.8,1.1,1,2011-03-12,1129,Aqua,MODIS,41,6.2,286.2,6.2,D,0
49.5368,19.6861,307.6,1.1,1,2011-03-12,1129,Aqua,MODIS,66,6.2,285.1,10.2,D,0
50.4389,18.9133,301.2,1.1,1,2011-03-12,1130,Aqua,MODIS,45,6.2,284,5.7,D,0
50.8066,19.2182,300.7,1,1,2011-03-12,1130,Aqua,MODIS,38,6.2,284.7,4.6,D,0
50.8155,19.2145,301.5,1,1,2011-03-12,1130,Aqua,MODIS,47,6.2,284.5,5,D,0
50.8689,19.0321,301,1.1,1,2011-03-12,1130,Aqua,MODIS,44,6.2,284.7,5.3,D,0
50.8746,17.7419,300,1.1,1.1,2011-03-12,1130,Aqua,MODIS,17,6.2,279.2,7.3,D,0
50.3883,19.4665,322.3,1,1,2011-03-12,1130,Aqua,MODIS,82,6.2,288.4,22.6,D,0
50.3307,19.2908,322.2,1.1,1,2011-03-12,1130,Aqua,MODIS,62,6.2,288.3,21.1,D,2
50.2916,19.0956,300.4,1.1,1,2011-03-12,1130,Aqua,MODIS,27,6.2,287.6,3.8,D,0
51.6858,15.9904,301.8,1.2,1.1,2011-03-13,1026,Terra,MODIS,43,6.2,283.2,6.8,D,2
50.6051,19.1893,305.5,1.9,1.3,2011-03-13,1213,Aqua,MODIS,58,6.2,271.4,22.9,D,0
52.3154,18.1734,303.9,1.8,1.3,2011-03-13,1213,Aqua,MODIS,57,6.2,280.1,16,D,0
51.4501,21.1691,319.1,1.1,1,2011-03-14,1117,Aqua,MODIS,79,6.2,284.1,21,D,0
50.5866,19.3811,301.5,1.3,1.1,2011-03-14,1117,Aqua,MODIS,47,6.2,267.2,10,D,0
51.4475,21.1539,309.7,1.1,1,2011-03-14,1117,Aqua,MODIS,69,6.2,284,12.1,D,0
51.4424,21.1632,312.8,1.1,1,2011-03-14,1117,Aqua,MODIS,58,6.2,284.8,12.4,D,0
50.3398,19.2988,303.8,1.3,1.1,2011-03-15,1014,Terra,MODIS,48,6.2,287,7,D,2
50.0504,20.2153,310.5,1.5,1.2,2011-03-15,1200,Aqua,MODIS,70,6.2,289.3,15.1,D,0
50.019,19.8747,315.5,1.4,1.2,2011-03-15,1200,Aqua,MODIS,76,6.2,289.7,21.4,D,0
50.0172,19.8551,306.5,1.4,1.2,2011-03-15,1200,Aqua,MODIS,64,6.2,288.4,10.4,D,0
50.0523,20.2357,310.4,1.5,1.2,2011-03-15,1200,Aqua,MODIS,70,6.2,289.5,15.1,D,0
51.6919,15.9797,300.2,1.9,1.4,2011-03-21,0151,Aqua,MODIS,20,6.2,269.8,23.2,N,2
54.4079,20.506,303.9,1.2,1.1,2011-03-21,0936,Terra,MODIS,58,6.2,268.9,12.6,D,0
51.6922,15.9807,302,1.6,1.3,2011-03-21,0937,Terra,MODIS,50,6.2,284.3,13.2,D,2
51.6876,15.9684,314.2,1.4,1.2,2011-03-21,1124,Aqua,MODIS,70,6.2,283.5,23.8,D,2
