latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
50.3382,19.2977,300.7,1.3,1.1,2005-01-08,0930,Terra,MODIS,38,6.2,269.4,11.7,D,0
50.3397,19.2978,312.7,1.3,1.1,2005-01-08,1114,Aqua,MODIS,73,6.2,281.3,21.7,D,0
50.3363,19.2798,328.5,1.3,1.1,2005-01-08,1114,Aqua,MODIS,86,6.2,282.7,45.5,D,2
51.5909,20.9242,302.9,1.5,1.2,2005-01-09,1013,Terra,MODIS,54,6.2,276.9,16.1,D,0
51.1947,17.8051,300.5,1.1,1.1,2005-01-09,1013,Terra,MODIS,38,6.2,276.3,9.7,D,0
51.6863,15.9846,316.9,1.1,1,2005-01-09,1157,Aqua,MODIS,67,6.2,279.1,20.8,D,2
51.6845,15.9692,309.8,1.1,1,2005-01-09,1157,Aqua,MODIS,65,6.2,279.1,14.7,D,2
50.0677,20.0736,308.2,1.7,1.3,2005-01-10,1101,Aqua,MODIS,67,6.2,279.9,24.2,D,0
50.0701,20.09,305.7,1.7,1.3,2005-01-10,1101,Aqua,MODIS,61,6.2,280.5,19.4,D,0
51.2051,22.9397,301.8,1.1,1.1,2005-01-10,2029,Terra,MODIS,45,6.2,270.7,11.2,N,0
50.3366,19.2859,316.2,1,1,2005-01-10,2029,Terra,MODIS,93,6.2,267.1,19.6,N,2
50.3351,19.2919,319.8,1.1,1,2005-01-11,1001,Terra,MODIS,80,6.2,280.2,23.4,D,2
50.6431,17.614,301.2,1,1,2005-01-11,1144,Aqua,MODIS,46,6.2,281,7.6,D,0
51.4923,21.0171,303.4,1.2,1.1,2005-01-11,1145,Aqua,MODIS,56,6.2,280.2,11.7,D,0
51.4941,21.0345,300.3,1.2,1.1,2005-01-11,1145,Aqua,MODIS,33,6.2,280.1,9.4,D,0
50.2899,18.8866,317.1,1,1,2005-01-16,0052,Aqua,MODIS,94,6.2,268.8,21.8,N,0
51.6827,15.9779,304.7,1.2,1.1,2005-01-16,1203,Aqua,MODIS,60,6.2,275.4,13.7,D,2
50.066,20.0758,300.1,1.7,1.3,2005-01-16,1203,Aqua,MODIS,26,6.2,275.4,16.8,D,0
50.0681,20.0827,303.5,1.7,1.3,2005-01-16,1203,Aqua,MODIS,49,6.2,275.8,19.7,D,0
51.6834,15.9873,303.8,1,1,2005-01-17,2035,Terra,MODIS,57,6.2,271.7,11.9,N,2
51.6875,15.9791,304.2,1.4,1.2,2005-02-07,0942,Terra,MODIS,51,6.2,269.5,18.2,D,2
54.0238,15.6157,304.4,1.1,1,2005-02-08,1024,Terra,MODIS,59,6.2,270.6,12.6,D,0
54.021,15.6317,311.1,1.1,1,2005-02-08,1024,Terra,MODIS,71,6.2,271.3,17.6,D,0
52.453,18.5139,301.3,1.3,1.1,2005-02-09,1114,Aqua,MODIS,46,6.2,273.4,12.1,D,0
51.2284,16.7424,304.1,1.1,1.1,2005-02-10,1157,Aqua,MODIS,58,6.2,272.4,10.8,D,0
50.4133,18.5853,319.7,1.2,1.1,2005-03-20,1120,Aqua,MODIS,75,6.2,277.1,28.4,D,0
51.6865,15.972,303.1,1.4,1.2,2005-03-20,1120,Aqua,MODIS,52,6.2,282.1,12.8,D,2
51.6863,15.967,315.8,1.2,1.1,2005-03-21,1203,Aqua,MODIS,76,6.2,285.9,20.3,D,2
51.6881,15.9842,305.2,1.2,1.1,2005-03-21,1203,Aqua,MODIS,61,6.2,283.2,10.1,D,2
52.0442,15.0749,302.4,1.1,1.1,2005-03-21,1203,Aqua,MODIS,0,6.2,282.5,8,D,0
50.0685,20.1269,301.6,2,1.4,2005-03-21,1952,Terra,MODIS,43,6.2,267.7,27.8,N,0
52.2789,14.7637,307.4,2.6,1.6,2005-03-22,1102,Terra,MODIS,65,6.2,281.6,44.2,D,0
52.2837,14.7722,304.9,2.6,1.6,2005-03-22,1102,Terra,MODIS,60,6.2,281.1,36.2,D,0
50.3424,23.606,303.8,1.1,1,2005-03-22,1107,Aqua,MODIS,57,6.2,278.5,9.6,D,0
51.6798,15.9663,309.3,2,1.4,2005-03-22,1108,Aqua,MODIS,64,6.2,284.6,29.8,D,2
51.6884,15.9871,301.1,2,1.4,2005-03-22,1108,Aqua,MODIS,44,6.2,282.2,15.6,D,2
51.682,15.9605,306.2,2,1.4,2005-03-22,1108,Aqua,MODIS,63,6.2,284.8,24.2,D,2
50.689,23.2586,302.1,1.7,1.3,2005-03-23,1150,Aqua,MODIS,51,6.2,285.8,12.5,D,0
50.5339,23.6037,306.4,1.8,1.3,2005-03-23,1150,Aqua,MODIS,60,6.2,284.5,21.8,D,0
50.7488,19.4939,307.3,1.2,1.1,2005-03-23,1150,Aqua,MODIS,65,6.2,283,12.8,D,0
50.7468,19.4823,301.9,1.2,1.1,2005-03-23,1150,Aqua,MODIS,41,6.2,280,8,D,0
50.7487,19.4993,302.5,1.2,1.1,2005-03-23,1150,Aqua,MODIS,38,6.2,282.9,8.6,D,0
50.8817,14.8203,301.6,2.1,1.4,2005-03-24,1050,Terra,MODIS,48,6.2,289.5,11.1,D,0
50.8737,14.8218,302.9,3.3,1.7,2005-03-24,1056,Aqua,MODIS,51,6.2,288.1,29.1,D,0
51.6772,15.9548,301.4,2.7,1.6,2005-03-24,1234,Aqua,MODIS,47,6.2,289.8,15.9,D,0
51.6816,15.9892,301.5,2.7,1.6,2005-03-24,1234,Aqua,MODIS,37,6.2,288,15.1,D,2
51.68,15.9502,301.5,2.7,1.6,2005-03-24,1234,Aqua,MODIS,44,6.2,290,16.1,D,0
51.6861,15.988,301.6,1.3,1.1,2005-03-24,2023,Terra,MODIS,42,6.2,278.1,12.5,N,2
49.9648,20.702,313.4,1.1,1,2005-03-25,0955,Terra,MODIS,74,6.2,290.3,12.3,D,0
50.2793,18.7421,304,1,1,2005-03-25,0955,Terra,MODIS,58,6.2,291.7,4.2,D,0
50.6285,17.8817,301.8,1,1,2005-03-25,0955,Terra,MODIS,49,6.2,287.9,4.2,D,0
50.3156,19.0529,302,1,1,2005-03-25,0955,Terra,MODIS,48,6.2,290.1,3,D,0
50.7331,20.5262,305.1,1.1,1,2005-03-25,1138,Aqua,MODIS,45,6.2,291.1,5.9,D,0
49.9917,19.7933,308.4,1,1,2005-03-25,1138,Aqua,MODIS,63,6.2,290.4,6.5,D,0
50.3772,19.0217,308.4,1,1,2005-03-25,1138,Aqua,MODIS,17,6.2,294.4,4.9,D,0
49.9851,19.6066,306.1,1,1,2005-03-25,1138,Aqua,MODIS,63,6.2,292,5.1,D,0
50.386,19.0186,311.9,1,1,2005-03-25,1138,Aqua,MODIS,54,6.2,294.1,7.8,D,0
50.7349,20.5409,302,1.1,1,2005-03-25,1138,Aqua,MODIS,26,6.2,287.1,4,D,0
50.435,18.1317,311,1,1,2005-03-25,1138,Aqua,MODIS,71,6.2,292.6,8.2,D,0
