latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
50.3337,19.285,310.7,1,1,2007-01-10,1141,Aqua,MODIS,70,6.2,283.1,12.8,D,2
51.681,15.983,303.4,1,1,2007-01-10,1141,Aqua,MODIS,48,6.2,283.8,8.3,D,2
51.2081,16.5509,302.8,1.6,1.3,2007-01-14,1117,Aqua,MODIS,54,6.2,280.8,17.2,D,0
50.3426,19.2921,305.1,1.1,1,2007-01-15,0049,Aqua,MODIS,63,6.2,272.8,12.9,N,2
50.3385,19.292,307.5,1.3,1.1,2007-01-15,1014,Terra,MODIS,65,6.2,277.5,17.1,D,2
50.3347,19.2969,304.1,1.3,1.1,2007-01-15,1014,Terra,MODIS,58,6.2,277,14,D,2
50.3413,19.289,301.2,1.1,1,2007-01-20,0107,Aqua,MODIS,39,6.2,272.8,10.3,N,2
50.3388,19.3036,300.2,1.1,1,2007-01-20,0107,Aqua,MODIS,21,6.2,272.4,9.9,N,2
51.6861,15.9854,305.9,1.1,1,2007-01-22,1020,Terra,MODIS,62,6.2,275.5,13,D,2
50.3308,19.2943,305.2,1.1,1,2007-02-02,1147,Aqua,MODIS,0,6.2,275.2,10.9,D,2
50.3347,19.2769,308.8,1.2,1.1,2007-02-03,2017,Terra,MODIS,76,6.2,271.2,17.6,N,2
50.3375,19.2927,346.8,1.2,1.1,2007-02-03,2017,Terra,MODIS,100,6.2,273.2,76.1,N,2
50.0705,20.0825,304.5,1.7,1.3,2007-02-14,1959,Terra,MODIS,60,6.2,272.4,23.1,N,2
50.4157,18.1494,303.7,1,1,2007-02-18,1002,Terra,MODIS,54,6.2,279.3,9.4,D,0
50.3372,19.2935,302.6,1.1,1,2007-02-18,1147,Aqua,MODIS,53,6.2,280.8,8.2,D,2
50.0654,20.0845,309.6,1.1,1,2007-02-18,1147,Aqua,MODIS,60,6.2,282.6,13.4,D,2
50.3353,19.2787,302.7,1.1,1,2007-02-18,1147,Aqua,MODIS,53,6.2,282.7,8.4,D,2
50.3342,19.2901,301.3,1.1,1,2007-03-06,1147,Aqua,MODIS,40,6.2,275.7,7.2,D,2
51.6868,15.9846,301.7,1,1,2007-03-07,0120,Aqua,MODIS,43,6.2,275,10,N,2
49.9935,19.6056,302,3.2,1.7,2007-03-07,1045,Terra,MODIS,50,6.2,287.4,26.3,D,0
50.0418,22.0273,301.1,1.9,1.3,2007-03-07,1052,Aqua,MODIS,44,6.2,286.4,11.4,D,0
50.6637,21.8024,300.5,1.9,1.3,2007-03-07,1052,Aqua,MODIS,38,6.2,286.7,11,D,0
50.0432,22.0053,302.4,1.9,1.3,2007-03-07,1052,Aqua,MODIS,52,6.2,287,12.6,D,0
50.1545,19.4117,301.2,3.3,1.7,2007-03-07,1230,Aqua,MODIS,36,6.2,284.3,22.7,D,0
49.8318,22.5814,303.4,1.1,1,2007-03-08,0950,Terra,MODIS,45,6.2,285.3,7.2,D,0
49.6085,21.6547,301.6,1,1,2007-03-08,1135,Aqua,MODIS,45,6.2,274.4,7.1,D,0
51.1755,16.119,301.6,1.2,1.1,2007-03-11,1206,Aqua,MODIS,48,6.2,282.9,7.5,D,0
50.6222,21.8868,301.4,1.2,1.1,2007-03-12,0925,Terra,MODIS,47,6.2,285.6,6.3,D,0
50.5254,21.4664,312.9,1.2,1.1,2007-03-12,0925,Terra,MODIS,73,6.2,287.9,15.4,D,0
50.5261,21.4604,316.7,1.2,1.1,2007-03-12,0925,Terra,MODIS,77,6.2,288,19.4,D,0
50.3286,19.2878,301,1.5,1.2,2007-03-12,1111,Aqua,MODIS,43,6.2,286.6,7.5,D,2
51.3803,19.8288,305.4,1.1,1.1,2007-03-13,0043,Aqua,MODIS,64,6.2,272.4,14.5,N,0
53.4359,15.6632,305.6,1,1,2007-03-13,1007,Terra,MODIS,62,6.2,286.1,8.2,D,0
50.0603,20.1199,300.8,1.3,1.1,2007-03-13,1008,Terra,MODIS,20,6.2,290.1,4.8,D,0
50.0669,20.0856,302.6,1.3,1.1,2007-03-13,1008,Terra,MODIS,48,6.2,289.5,6.3,D,2
50.8985,19.0089,300.6,1.1,1.1,2007-03-13,1008,Terra,MODIS,40,6.2,287.8,5,D,0
51.6879,15.981,302.1,1,1,2007-03-13,1008,Terra,MODIS,44,6.2,284.2,5.3,D,2
50.3362,19.2906,314.6,1.2,1.1,2007-03-13,1154,Aqua,MODIS,75,6.2,294.4,13.8,D,2
50.0656,20.0786,315.8,1.2,1.1,2007-03-13,1154,Aqua,MODIS,72,6.2,292.8,17.4,D,2
50.0674,20.096,302.8,1.2,1.1,2007-03-13,1154,Aqua,MODIS,47,6.2,292,4.9,D,2
50.3344,19.2742,306,1.2,1.1,2007-03-13,1154,Aqua,MODIS,63,6.2,295.6,6.3,D,2
50.5317,17.9788,300.9,1.1,1,2007-03-13,1154,Aqua,MODIS,41,6.2,290.7,4.3,D,0
50.1939,19.2857,315.4,1.2,1.1,2007-03-13,1154,Aqua,MODIS,76,6.2,293.7,15.6,D,0
50.2419,19.2727,303.5,1.2,1.1,2007-03-13,1154,Aqua,MODIS,56,6.2,293.1,5.3,D,0
50.8487,17.5611,302.1,1.1,1,2007-03-13,1154,Aqua,MODIS,51,6.2,289.8,5.1,D,0
50.9098,21.4653,300.5,1.5,1.2,2007-03-13,1154,Aqua,MODIS,25,6.2,290.1,5.7,D,0
49.9978,19.7709,305.4,3.9,1.8,2007-03-14,1051,Terra,MODIS,61,6.2,284.6,55.3,D,0
49.9877,19.831,311.3,3.9,1.8,2007-03-14,1051,Terra,MODIS,71,6.2,284.7,77.2,D,0
50.0026,19.7819,311.7,3.9,1.8,2007-03-14,1051,Terra,MODIS,72,6.2,284.7,78.8,D,0
49.9831,19.8201,313,3.9,1.8,2007-03-14,1051,Terra,MODIS,73,6.2,284.5,93.6,D,0
50.1776,23.2789,306,1.4,1.2,2007-03-14,1058,Aqua,MODIS,63,6.2,288.9,12.2,D,0
49.9914,19.7849,311.4,2,1.4,2007-03-14,1059,Aqua,MODIS,67,6.2,286.6,31.7,D,0
49.9869,20.1247,310.5,2,1.4,2007-03-14,1059,Aqua,MODIS,70,6.2,287.1,29,D,0
49.9897,20.1162,307.8,2,1.4,2007-03-14,1059,Aqua,MODIS,66,6.2,287.1,22.4,D,0
51.4656,20.9326,300.4,1,1,2007-03-15,0955,Terra,MODIS,29,6.2,283,5.8,D,0
51.4681,20.918,301.9,1,1,2007-03-15,0955,Terra,MODIS,45,6.2,281.7,6.8,D,0
51.6862,15.981,305.1,1.1,1,2007-03-15,0956,Terra,MODIS,53,6.2,282.8,9.4,D,2
51.6857,15.9844,319.8,1,1,2007-03-16,0114,Aqua,MODIS,99,6.2,273.8,23.1,N,2
51.6835,15.9932,305.5,1.6,1.3,2007-03-16,1038,Terra,MODIS,42,6.2,284.2,13.8,D,2
51.6866,15.9765,308.3,1.6,1.3,2007-03-16,1038,Terra,MODIS,67,6.2,286.5,19.6,D,2
51.6816,15.9989,300.4,1.6,1.3,2007-03-16,1038,Terra,MODIS,31,6.2,284.4,9.8,D,2
51.6867,15.9864,306.2,1,1,2007-03-23,0120,Aqua,MODIS,67,6.2,272.1,13.2,N,2
54.3414,21.9042,302.5,1,1,2007-03-24,0949,Terra,MODIS,52,6.2,286,5.9,D,0
54.0007,15.6336,301.5,1.1,1,2007-03-24,1136,Aqua,MODIS,47,6.2,286.2,5.8,D,0
54.3873,20.6918,300.5,1.1,1,2007-03-24,1136,Aqua,MODIS,38,6.2,288.3,4.3,D,0
54.0034,15.6494,303.3,1.1,1,2007-03-24,1136,Aqua,MODIS,56,6.2,287.3,7,D,0
54.371,21.4733,308.6,1.1,1,2007-03-24,1136,Aqua,MODIS,67,6.2,288.6,10.2,D,0
50.0772,20.0932,320.6,1.1,1.1,2007-03-25,0108,Aqua,MODIS,100,6.2,274.3,28.2,N,2
50.3394,19.2973,308.1,1.1,1,2007-03-25,0108,Aqua,MODIS,73,6.2,274.3,14.9,N,2
51.6877,15.9863,311.9,1.4,1.2,2007-03-25,1032,Terra,MODIS,68,6.2,288.6,19.7,D,2
